run_id,experiment_id,system,workload,numeric_semantics,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,transforms_streamed,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,synth_s,place_s,route_s,total_wall_s,interface,unroll_factor,report_paths,failure_reason,transform_size,config,ordering,stimulus,seeds,transforms_completed,cosim_wall_s,max_abs_error,max_norm_error,run_by,notes
hpfft_n1024_UF4_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,96,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,8>>, 512-bit data each way = 8 complex float32 samples per beat, 128 beats per transform; block control ap_ctrl_hs",4,,P&R queued but not reached before the package was assembled (queue job 106_pnr_n1024_UF4; optional extra),1024,UF4,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft_n1024_UF8_cosim,E2,HP-FFT,1024-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,1000,1063,201.0,32,,,,,,,,,,,167,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,16>>, 1024-bit data each way = 16 complex float32 samples per beat, 64 beats per transform; block control ap_ctrl_hs",8,"hpfft/reports/hpfft_n1024_UF8_cosim,hpfft/validation/hpfft_n1024_UF8_cosim",,1024,UF8,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,1153,2.608e-05,1.668e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 201, min 201, max 201); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 7093 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft_n1024_UF8_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,167,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,16>>, 1024-bit data each way = 16 complex float32 samples per beat, 64 beats per transform; block control ap_ctrl_hs",8,,P&R queued but not reached before the package was assembled (queue job 108_pnr_n1024_UF8; optional extra),1024,UF8,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft_n1024_no_StagePipeline_cosim,E2,HP-FFT,"1024-point radix-2 complex FFT; 3 transforms as back-to-back FFT_TOP calls (array interface, ap_ctrl_hs)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,32778,33289,33291.0,3,,,,,,,,,,,45,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words, 2 ports each); ap_ctrl_hs",,"hpfft/reports/hpfft_n1024_no_StagePipeline_cosim,hpfft/validation/hpfft_n1024_no_StagePipeline_cosim",,1024,no_StagePipeline,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..2 = LCG(0x12345678) U[-1,1)",,3,337,2.608e-05,1.450e-07,previous_agent,"steady interval = mean of the last 2 completion-to-completion distances (median 33291.0, min 33291, max 33291); batch of 3 transforms complete at cycle 99871 after the first input beat; ap_done pulses 3; input stall cycles in transform 0: 0; 3 transforms checked; RTL outputs as received by Vitis' post-check testbench run (sim/wrapc_pc)"
hpfft_n1024_no_StagePipeline_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,45,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words, 2 ports each); ap_ctrl_hs",,,P&R queued but not reached before the package was assembled (queue job 111_pnr_n1024_no_StagePipeline; optional extra),1024,no_StagePipeline,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft_n1024_original_C_style_cosim,E2,HP-FFT,"1024-point radix-2 complex FFT; 3 transforms as back-to-back FFT_TOP calls (array interface, ap_ctrl_hs)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,109341,110364,110366.0,3,,,,,,,,,,,56,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words); ap_ctrl_hs",,"hpfft/reports/hpfft_n1024_original_C_style_cosim,hpfft/validation/hpfft_n1024_original_C_style_cosim",,1024,original_C_style,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..2 = LCG(0x12345678) U[-1,1)",,3,603,2.608e-05,1.450e-07,previous_agent,"steady interval = mean of the last 2 completion-to-completion distances (median 110366.0, min 110366, max 110366); batch of 3 transforms complete at cycle 331096 after the first input beat; ap_done pulses 3; input stall cycles in transform 0: 0; 3 transforms checked; RTL outputs as received by Vitis' post-check testbench run (sim/wrapc_pc)"
hpfft_n1024_original_C_style_pnr,E2,HP-FFT,"1024-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,56,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words); ap_ctrl_hs",,,P&R queued but not reached before the package was assembled (queue job 112_pnr_n1024_original_C_style; optional extra),1024,original_C_style,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF1_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,679,742,76.1,32,,,,,,,,,,,47,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,2>>, 128-bit data each way = 2 complex float32 samples per beat, 64 beats per transform; block control ap_ctrl_hs",1,"hpfft/reports/hpfft-derived_n128_UF1_cosim,hpfft/validation/hpfft-derived_n128_UF1_cosim",,128,UF1,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,185,4.446e-06,1.444e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 78, min 74, max 78); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 3022 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft-derived_n128_UF1_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,47,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,2>>, 128-bit data each way = 2 complex float32 samples per beat, 64 beats per transform; block control ap_ctrl_hs",1,,P&R queued but not reached before the package was assembled (queue job 104_pnr_n128_UF1; optional extra),128,UF1,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF16_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,not_run,,,,,,,,,,,,,,,,,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,32>>, 2048-bit data each way = 32 complex float32 samples per beat, 4 beats per transform; block control ap_ctrl_hs",16,,RTL cosimulation not run (optional extra: the previous agent's queue did not reach it and it was not re-queued; csynth row in hls_estimates.csv),128,UF16,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF16_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,195,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,32>>, 2048-bit data each way = 32 complex float32 samples per beat, 4 beats per transform; block control ap_ctrl_hs",16,,"P&R deferred: optional extra, HLS estimate 226457 LUTs; an OOC P&R of that size takes hours on the shared machine (queue job 035_pnr_n128_UF16 in queue_pnr/deferred)",128,UF16,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF2_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,365,396,42.5,32,,,,,,,,,,,52,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,4>>, 256-bit data each way = 4 complex float32 samples per beat, 32 beats per transform; block control ap_ctrl_hs",2,"hpfft/reports/hpfft-derived_n128_UF2_cosim,hpfft/validation/hpfft-derived_n128_UF2_cosim",,128,UF2,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,167,4.446e-06,1.444e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 43, min 42, max 43); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 1671 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft-derived_n128_UF2_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,52,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,4>>, 256-bit data each way = 4 complex float32 samples per beat, 32 beats per transform; block control ap_ctrl_hs",2,,P&R queued but not reached before the package was assembled (queue job 117_pnr_n128_UF2; optional extra),128,UF2,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF32_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,not_run,,,,,,,,,,,,,,,,,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,64>>, 4096-bit data each way = 64 complex float32 samples per beat, 2 beats per transform; block control ap_ctrl_hs",32,,RTL cosimulation not run (optional extra: the previous agent's queue did not reach it and it was not re-queued; csynth row in hls_estimates.csv),128,UF32,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF32_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,476,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,64>>, 4096-bit data each way = 64 complex float32 samples per beat, 2 beats per transform; block control ap_ctrl_hs",32,,"P&R deferred: optional extra, HLS estimate 502571 LUTs; an OOC P&R of that size takes hours on the shared machine (queue job 037_pnr_n128_UF32 in queue_pnr/deferred)",128,UF32,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF4_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,428,443,208.0,32,,,,,,,,,,,65,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,8>>, 512-bit data each way = 8 complex float32 samples per beat, 16 beats per transform; block control ap_ctrl_hs",4,"hpfft/reports/hpfft-derived_n128_UF4_cosim,hpfft/validation/hpfft-derived_n128_UF4_cosim",,128,UF4,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,185,4.446e-06,1.444e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 208, min 208, max 208); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 6683 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft-derived_n128_UF4_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,65,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,8>>, 512-bit data each way = 8 complex float32 samples per beat, 16 beats per transform; block control ap_ctrl_hs",4,,P&R queued but not reached before the package was assembled (queue job 119_pnr_n128_UF4; optional extra),128,UF4,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_UF8_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT; 32 transforms streamed back-to-back through one FFT_TOP,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,177,184,33.0,32,,,,,,,,,,,105,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,16>>, 1024-bit data each way = 16 complex float32 samples per beat, 8 beats per transform; block control ap_ctrl_hs",8,"hpfft/reports/hpfft-derived_n128_UF8_cosim,hpfft/validation/hpfft-derived_n128_UF8_cosim",,128,UF8,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)","transform 0 = HP-FFT shipped test signal, transforms 1..31 = LCG(0x12345678) U[-1,1)",,31,236,4.446e-06,1.444e-07,previous_agent,"steady interval = mean of the last 23 completion-to-completion distances (median 33, min 33, max 33); 31/32 transforms completed: the last transform fed is never flushed without a following transform (top-level ap_done never fires, HLS 200-656); intervals over the completed ones; batch of 31 transforms complete at cycle 1174 after the first input beat; ap_done pulses 31; input stall cycles in transform 0: 0; 31 transforms checked; RTL outputs read from the out_r port handshakes in the VCD"
hpfft-derived_n128_UF8_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,105,,,,,"ap_fifo in/out: hls::stream<hls::vector<complex<float>,16>>, 1024-bit data each way = 16 complex float32 samples per beat, 8 beats per transform; block control ap_ctrl_hs",8,,P&R queued but not reached before the package was assembled (queue job 121_pnr_n128_UF8; optional extra),128,UF8,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_no_StagePipeline_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,not_run,,,,,,,,,,,,,,,,,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words, 2 ports each); ap_ctrl_hs",,,RTL cosimulation not run (optional extra: the previous agent's queue did not reach it and it was not re-queued; csynth row in hls_estimates.csv),128,no_StagePipeline,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_no_StagePipeline_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,40,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words, 2 ports each); ap_ctrl_hs",,,"P&R deferred: optional extra, HLS estimate 3368 LUTs; an OOC P&R of that size takes hours on the shared machine (queue job 031_pnr_n128_no_StagePipeline in queue_pnr/deferred)",128,no_StagePipeline,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_original_C_style_cosim,E2,"HP-FFT (derived size, see README)",128-point radix-2 complex FFT,"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,not_run,,,,,,,,,,,,,,,,,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words); ap_ctrl_hs",,,RTL cosimulation not run (optional extra: the previous agent's queue did not reach it and it was not re-queued; csynth row in hls_estimates.csv),128,original_C_style,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
hpfft-derived_n128_original_C_style_pnr,E2,"HP-FFT (derived size, see README)","128-point radix-2 complex FFT (one FFT_TOP instance, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,not_run,,,,,,,,,,,,,,,,40,,,,,"ap_memory dataIn/dataOut (complex<float>[N] arrays, 64-bit words); ap_ctrl_hs",,,"P&R deferred: optional extra, HLS estimate 19853 LUTs; an OOC P&R of that size takes hours on the shared machine (queue job 032_pnr_n128_original_C_style in queue_pnr/deferred)",128,original_C_style,"natural-order input, natural-order output (DIT with bit-reversal reorder stage)",,,,,,,,
