run_id,system,variant,M,seed,passes,pass_totals_all_lanes,pass_totals_result_lanes,pass_first_out,completion_all_lanes,completion_result_lanes,first_output,row_done_first,row_done_last,rtl_equals_ref,ref_equals_numpy,harness,xelab_s,xsim_s
spmw_conv_6_cosim_s0,SPMW conventional,conventional_2pass,6,0,2,38+38,30+30,21+21,76,60,59,55,60,True,True,"SPMW COSIM PASS (48/48 tokens, 0 errors) | SPMW COSIM PASS (48/48 tokens, 0 errors)",13.9+13.2,8.6+7.1
spmw_conv_6_cosim_s1,SPMW conventional,conventional_2pass,6,1,2,38+38,30+30,21+21,76,60,59,55,60,True,True,"SPMW COSIM PASS (48/48 tokens, 0 errors) | SPMW COSIM PASS (48/48 tokens, 0 errors)",13.7+14.3,9.1+9.0
spmw_conv_6_cosim_s2,SPMW conventional,conventional_2pass,6,2,2,38+38,30+30,21+21,76,60,59,55,60,True,True,"SPMW COSIM PASS (48/48 tokens, 0 errors) | SPMW COSIM PASS (48/48 tokens, 0 errors)",15.6+12.8,8.0+7.2
spmw_conv_64_cosim_s0,SPMW conventional,conventional_2pass,64,0,2,96+96,88+88,21+21,192,176,117,113,176,True,True,"SPMW COSIM PASS (512/512 tokens, 0 errors) | SPMW COSIM PASS (512/512 tokens, 0 errors)",12.2+12.0,6.9+9.2
spmw_conv_64_cosim_s1,SPMW conventional,conventional_2pass,64,1,2,96+96,88+88,21+21,192,176,117,113,176,True,True,"SPMW COSIM PASS (512/512 tokens, 0 errors) | SPMW COSIM PASS (512/512 tokens, 0 errors)",11.9+14.9,6.9+9.2
spmw_conv_64_cosim_s2,SPMW conventional,conventional_2pass,64,2,2,96+96,88+88,21+21,192,176,117,113,176,True,True,"SPMW COSIM PASS (512/512 tokens, 0 errors) | SPMW COSIM PASS (512/512 tokens, 0 errors)",17.7+18.0,9.4+8.7
spmw_convz0_64_cosim_s0,SPMW conventional,conventional_foldedseed_pass1_only,64,0,1,131,123,23,131,123,23,28,123,True,True,"SPMW COSIM PASS (512/512 tokens, 0 errors)",10.1,6.1
spmw_grp_4096_cosim_s0,SPMW grouped,grouped_constseed,4096,0,1,5499,5499,42,5499,5499,42,47,5499,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",19.8,8.2
spmw_grp_4096_cosim_s1,SPMW grouped,grouped_constseed,4096,1,1,5499,5499,42,5499,5499,42,47,5499,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",15.5,7.5
spmw_grp_4096_cosim_s2,SPMW grouped,grouped_constseed,4096,2,1,5499,5499,42,5499,5499,42,47,5499,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",17.3,8.0
spmw_grp_6_cosim_s0,SPMW grouped,grouped_constseed,6,0,1,45,None,36,45,,36,,,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",10.2,6.0
spmw_grp_6_cosim_s1,SPMW grouped,grouped_constseed,6,1,1,45,None,36,45,,36,,,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",10.1,6.2
spmw_grp_6_cosim_s2,SPMW grouped,grouped_constseed,6,2,1,45,None,36,45,,36,,,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",10.4,6.5
spmw_grp_64_cosim_s0,SPMW grouped,grouped_constseed,64,0,1,123,123,42,123,123,42,47,123,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",14.0,9.2
spmw_grp_64_cosim_s1,SPMW grouped,grouped_constseed,64,1,1,123,123,42,123,123,42,47,123,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",13.1,8.8
spmw_grp_64_cosim_s2,SPMW grouped,grouped_constseed,64,2,1,123,123,42,123,123,42,47,123,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",13.2,8.6
spmw_grpzs_4096_cosim_s0,SPMW grouped,grouped_zeroseed,4096,0,1,4136,4136,37,4136,4136,37,41,4136,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",13.0,6.9
spmw_grpzs_4096_cosim_s1,SPMW grouped,grouped_zeroseed,4096,1,1,4136,4136,37,4136,4136,37,41,4136,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",13.6,5.9
spmw_grpzs_4096_cosim_s2,SPMW grouped,grouped_zeroseed,4096,2,1,4136,4136,37,4136,4136,37,41,4136,True,True,"SPMW COSIM PASS (8192/8192 tokens, 0 errors)",13.1,6.5
spmw_grpzs_6_cosim_s0,SPMW grouped,grouped_zeroseed,6,0,1,46,46,37,46,46,37,41,46,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",10.3,6.3
spmw_grpzs_6_cosim_s1,SPMW grouped,grouped_zeroseed,6,1,1,46,46,37,46,46,37,41,46,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",10.6,6.4
spmw_grpzs_6_cosim_s2,SPMW grouped,grouped_zeroseed,6,2,1,46,46,37,46,46,37,41,46,True,True,"SPMW COSIM PASS (12/12 tokens, 0 errors)",10.8,6.2
spmw_grpzs_64_cosim_s0,SPMW grouped,grouped_zeroseed,64,0,1,104,104,37,104,104,37,41,104,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",10.5,6.9
spmw_grpzs_64_cosim_s1,SPMW grouped,grouped_zeroseed,64,1,1,104,104,37,104,104,37,41,104,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",9.5,6.5
spmw_grpzs_64_cosim_s2,SPMW grouped,grouped_zeroseed,64,2,1,104,104,37,104,104,37,41,104,True,True,"SPMW COSIM PASS (128/128 tokens, 0 errors)",10.2,6.8
hls_conventional_M4096_cosim,HLS baseline,hls_conventional,4096,0,2,18820..18886 per launch,,,37706,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval 18881 total_exec 37701",,
hls_conventional_M6_cosim,HLS baseline,hls_conventional,6,0,2,364..430 per launch,,,794,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval 425 total_exec 789",,
hls_conventional_M64_cosim,HLS baseline,hls_conventional,64,0,2,676..742 per launch,,,1418,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval 737 total_exec 1413",,
hls_conventional_packed_M4096_cosim,HLS baseline,hls_conventional_packedlanes,4096,0,1,4924..4990 per launch,,,4957,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval 4985 total_exec 9909",,
hls_conventional_packed_M6_cosim,HLS baseline,hls_conventional_packedlanes,6,0,1,316..382 per launch,,,349,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval 377 total_exec 693",,
hls_conventional_packed_M64_cosim,HLS baseline,hls_conventional_packedlanes,64,0,1,388..454 per launch,,,421,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval 449 total_exec 837",,
hls_grouped_M4096_cosim,HLS baseline,hls_grouped,4096,0,1,4470..4470 per launch,,,4470,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval None total_exec 4470",,
hls_grouped_M6_cosim,HLS baseline,hls_grouped,6,0,1,360..360 per launch,,,360,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval None total_exec 360",,
hls_grouped_M64_cosim,HLS baseline,hls_grouped,64,0,1,430..430 per launch,,,430,,,,,True,True,"csim ['PASS', 'PASS', 'PASS', 'PASS', 'PASS'] cosim Pass interval None total_exec 430",,
